Question;Answer;Date
học năng khiếu;Các môn năng khiếu đã được tích hợp trong chương trình học của con.;14/12/2022
;;
học năng khiếu;Các môn năng khiếu đã được tích hợp trong chương trình học của con.;16/12/2022
;;
trường có ưu đãi gì không;Phụ huynh vui lòng tham khảo chương trình ưu đãi tại website của trường.;16/12/2022
;;
bé khóc thì làm sao;"Giáo viên khuyên bảo trẻ giúp trẻ tự nhận ra lỗi, hướng dẫn trẻ khắc phục lỗi và tự điều chỉnh hành vi của mình; chỉ trách phạt nghiêm túc (có tính giáo dục) khi trẻ phạm lỗi nhiều lần; khen thưởng trẻ khi trẻ ngoan hơn.";16/12/2022
;;
phụ huynh có tham quan trường được không;Quý phụ huynh có thể đến trường theo giờ quy định của trường.;16/12/2022
;;
bé ngủ trưa lúc nào;Sau bữa ăn trưa, từ 11 giờ 30 đến 14 giờ (180 phút).;16/12/2022
;;
cô giáo cho bé ăn lúc mấy giờ;Bữa sáng tại căng tin của trường sẽ từ 7 giờ sáng đến 9 giờ sáng. Bữa trưa sẽ được phục vụ từ 11:00 P.M đến 12:00 P.M mỗi ngày và một bữa ăn nhẹ trong giờ giải lao buổi chiều.;16/12/2022
;;
cô có thay quần áo cho bé không;Hàng ngày các bé được thay đồ sau khi ăn, khi bị ướt bẩn và tắm gội tại trường;16/12/2022
